baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ATXN7L2	12.8557437430158	-1.61853649985707	0.443473026476992	-3.64968420450492	0.000262562899796282	0.00224128424024526
AURKB	120.988100089151	-1.00704179373363	0.335530235193993	-3.00134440388477	0.0026879036767796	0.0136766578872509
AUTS2	459.105230849134	-1.09705017166216	0.291606351677663	-3.76209285343283	0.000168497465129139	0.00159179874721794
AVPI1	87.9060140678671	1.19791376286999	0.251541549320819	4.76228983285048	1.91408502365024e-06	4.32736342146847e-05
AXIN2	2076.94223093458	-2.85940296024115	0.375907598538224	-7.60666443392044	2.81260320885184e-14	8.83157407579477e-12
AZGP1	279.4920668874	-2.9796674348916	0.553143214038469	-5.38679199033683	7.17263627538692e-08	3.00739912674235e-06
B3GALT1	57.7011862597397	2.20758646486052	0.657622714033563	3.35691942773718	0.000788160769948325	0.00523587761136334
B3GALT5	229.105851517464	2.0174843342251	0.491603971606822	4.10388127587923	4.06276013072061e-05	0.000509918730508146
B3GNT5	912.745714972077	1.01074294815084	0.214852413646214	4.70435929016452	2.54664431034374e-06	5.45213395532683e-05
B3GNT6	109.754465324388	1.72087461826786	0.634264310865067	2.71318216836255	0.00666404609684916	0.0271994166699544
B3GNT7	1137.13057134977	2.99575950707001	0.74278374897094	4.03315165580879	5.5033737251021e-05	0.000646406240529448
B3GNTL1	16.6701571338737	-2.0052829281317	0.493161012925849	-4.06618300225044	4.77894141028791e-05	0.000579456149763947
B4GALNT2	46.1071295199874	2.30263327681039	0.69359242052729	3.31986510905044	0.000900609528380181	0.005781741315771
B4GALNT4	22.8424861570462	-2.41276489480587	0.894183288435656	-2.69828895933284	0.00696969137631296	0.0280734718207817
B4GALT1	1187.10178768426	1.29754078165853	0.262264342192976	4.94745404887634	7.51904462305932e-07	2.04315577930439e-05
BAALC	11.5231251931882	1.59513472133351	0.538516759061166	2.96208928411887	0.00305559164758786	0.0150123470029264
BACE2	643.942713776916	-1.42525034434916	0.260739193227518	-5.46619143331282	4.59807756319516e-08	2.06256622120468e-06
BAI3	18.7890959913243	2.53326888268928	0.531735258354012	4.76415442250534	1.89647231307762e-06	4.30130879354522e-05
BAMBI	189.638230574225	-1.93157137810292	0.575323557013248	-3.35736535477626	0.000786890586212361	0.00523482296759918
BARX2	68.5505342507962	1.13321769153791	0.457274221993305	2.47820156272554	0.0132046525704278	0.0457196130409569
BCAR3	178.466090538245	1.1391403704063	0.302970452935532	3.7599058237164	0.000169977333082487	0.00159692800296246
BCAS1	1810.69620360778	1.67928782039014	0.540220638934967	3.10852214698946	0.00188025553200052	0.0103781291668623
BCHE	24.9745572097876	3.12040239981198	0.616425307303891	5.06209327040762	4.14678054153127e-07	1.2682685941956e-05
